Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
Prainha da Barragem Guaricana,Volume I,46,10,1,2,6,Atrativos Naturais,Água,Seguir a Estrada Velha do Guaricana até a Represa Guarinaca no Rio Arraial. O local fica a 800m da Barragem Guaricana.,Calônia Santos Andrade,,"-25.70964594900103, -48.97352302497938","Pequena praia formada às margens do Rio Arraial, a 800 m da Barragem Guaricana. O local é isolado,  bastante tranquilo e  apreciado como local de pescaria.",,Rural,,,,-,-,-,-,-,-,"O local não possui nenhuma estrutura como banheiros, restaurante ou local próximo para alimentação. Os interessados em visitar e/ou pescar devem ir preparados para estar em um local natural e trazer o lixo de volta.",-,53 Km até o aeroporto; 52 Km até o centro; 28 Km até a BR 376.,Lugar tranquilo para pescar.,-,-,-,-,-,-,Não,,,,
Quedas d'água do Córrego Fundo,Volume I,47,11,1,2,7,Atrativos Naturais,Água,Rua Guilherme Moreno,Campo Largo da Roseira,,"-25.730621469900914, -49.08710700130567","São cerca de 5 quedas sequenciais, rodeadas por mata fechada e morros em aclive acentuado. Ao longo da trilha podem ser observadas diversas espécies vegetais típicas da Mata Atlântica, incluindo  xaxins e bromélias.","A cachoeira se encontra na área da empresa Panagro Empreendimentos Florestais e por isso passou a ser conhecida como ""Quedas ou Cachoeira da Panagro"".  É um local tradicionalmente  apreciado pela beleza das quedas d'água e pela vegetação.",Rural,,,Não,Panagro Empreendimentos Florestais,-,https://www.youtube.com/watch?v=_onBQSbm2kY,,Está localizada em propriedade privada cujos donos tradicionalmente permitem visitação. É necessário cuidar da preservação do local.,-,Recomenda-se o uso de roupas e sapatos próprios para trilhas.,"O acesso à primeira queda é fácil. Nas demais quedas a dificuldade de acesso é moderada, havendo lugares ingrimes.","Saindo da BR 376, pegar a Estrada Velha da Guaricana até a Rua Guilherme Moreno e seguir até o CDV – Centro Espírita Beneficiente União do Vegetal. Deixar o carro e seguir  a rua  à pé até o início da trilha para a cachoeira.
30 Km até o aeroporto; 29 km  até o  centro; 6 Km até a BR 376","Beleza cênica, natureza exuberante,experiência na Mata Atlântica.",-,Não. É necessário deixar o carro na estrada.,-,,,,Não,-,-,-,-
Salto da Malhada,Volume I,48,12,1,2,8,Atrativos Naturais,Água,Rua Demétrio João Kotzias,Colônia Malhada,,"-25.684831352053294, -49.04704373398418","Também conhecida por  ""Salto do Ribeirão do Meio"" e ainda   ""Cachoeira do Turco"", nome que  se refere a um  antigo proprietário. Está localizada em  área particular e faz parte da transição rochosa para a Serra do Mar.","A cachoeira tem cerca de 90 metros de altura e está localizada próxima à Serra da Campininha. Há uma trilha relativamente fácil, que leva até o Morro da Campininha. Recomenda-se estar acompanhado por guias experientes que conheçam bem a região.",Rural,,,Não,-,-,-,-,Recomenda-se conversar com moradores locais para solicitar a permissão para entrada no local.,-,Cachoeira apreciada para prática de trekkings e rappel com  ancoragens naturais. É recomendado o uso de roupas resistentes e adequadas para trilhas.,A trilha passa por fundos de vale com espaços de lama bem escorredios.,"Após passar pela Igreja do Saltinho da Malhada, siga pela Rua Nicolau Braholka até a Rua Demétrio João Kotzias. Continue por essa rua até o final. Ao encontrar a placa indicando 'Rua sem saída', prossiga no caminho e peça orientações aos moradores locais. Distâncias: 32 km até o aeroporto; 31 km até o centro; 15 km até a BR 376.","Beleza cênica, natureza exuberante, experiência na Mata Atlântica.",-,É preciso deixar o carro na estrada.,-,,-,-,Não,,,,
,Volume I,49,,,,,,Morros,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Alto de São José,Volume I,50,13,1,3,1,Atrativos Naturais,Morros,"Pico mais alto do Municipio, localizado na Serra da Campininha ao Sudeste do Municipio.",Roça Velha - Osso da Anta,,"-25.697424901344156, -49.04407543850646","Localizado a 1.331m de altitude, o ponto mais alto do município está situado na Serra da Campininha, que, por sua vez, faz parte da Serra do Mar, uma importante cadeia de montanhas que se estende ao longo do litoral brasileiro, especialmente nos estados do Paraná, São Paulo e Rio de Janeiro.",,Rural,,,Não,,,,,,,,-,32 Km até o aeroporto; 31 Km até o centro; 15 Km até a BR 376,,,,,,"Beleza Cênica, contemplação.",,Não,,,,
Mirante para o Morro Redondo,Volume I,51,14,1,3,2,Atrativos Naturais,Morros,Acesso a partir da  Estrada Velha da Guaricana.,Colônia Santos Andrade,,-49.0901009271269686 -25.74425375148933881 0,"Também conhecido como “mirante  do Morro da Embratel"" ou ""mirante do  Morro Redondo”, por estar localizado onde se encontrava a antiga torre de telecomunicações da Embratel.  O mirante possibilita   uma vista panorâmica  da área rural até o litoral em dias de céu limpo.","Faz parte do Complexo da Serra do Mar juntamente com o próprio   Morro Redondo, porém, esse encontra-se no município de  Tijucas do Sul enquanto o Mirante está em São José dos Pinhais.",Rural,,,Não,-,-,-,-,-,-,A trilha de acesso  começa a partir de um entroncamento na Estrada Velha da Guaricana. Há  trechos que podem estar  encobertos pela vegetação.,"Parte do caminho  está com a pavimentação  bastante deteriorada. Há espaço para passagem de um só carro por vez, sem espaço de manobra.","Localiizado  no morro onde estava instalada a antiga torre da Embratel. Pode ser acessado através da  Estrada Velha da Guaricana.
31 Km até o aeroporto; 30 Km até  o centro; 20  Km até a BR 376.",É um local muito apreciado por praticantes de mountain bike e ecoturismo.,-,Na estrada.,-,"A estrada de acesso só comporta um carro por vez, não havendo espaço para manobras e/ou  ultrapassagem",É um local apreciado por praticantes de mountain bike e ecoturismo.,-,Não,-,-,-,
Serra da Campininha,Volume I,52,15,1,3,3,Atrativos Naturais,Morros,No sudeste do municipio. Na divisa entre o Planalto e os vales do litoral. Faz parte da Serra do Mar.,Roça Velha - Osso da Anta,,"-25.687558566891855, -49.04446833454319","A Serra da Campininha é uma importante formação geográfica no município tanto do ponto de vista ecológico quanto turístico. Faz parte da formação montanhosa  da Serra do Mar, uma cadeia de montanhas que se estende ao longo do litoral do Brasil, especialmente nos estados do Paraná, São Paulo e Rio de Janeiro.","O local possui  rica biodiversidade, é uma importante área de captação natural de água de chuva e proporciona uma bela vista da região.",Rural,,,-,-,-,-,-,-,-,,,32 Km até o aeroporto; 31 Km até o centro; 16 Km até a BR 376.,,-,Na estrada.,-,"Ao planejar o passeio, conferir  sempre a previsão do tempo para evitar de pegar chuva  no caminho.",Local apreciado para trekking e ecoturismo.,-,Não,,,,
,Volume I,53,,,,,,Paisagem,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Mirante da Barragem Miringuava,Volume I,54,16,1,4,1,Atrativos Naturais,Paisagem,A 2 Km da Vinícula Araucária,Malhada,,"-25.643515389109695, -49.06720931984447","O mirante permite o avistamento da área de abrangêcia da Barragem do Rio Miringuava. A barragem é uma obra da empresa de saneamento Sanepar construída com o objetivo de regular o fluxo de água do rio Miringuava, controlar   enchentes e  armazenar água para  abastecimento público.",,Rural,,,-,-,-,-,-,-,-,A represa esta em fase de construção. Ainda não existe informações detalhadas sobre o mirante da represa.,Seguir pelo caminho lateral oeste da Represa Guaricana ou   por dentro da Vinicola Araucária,30 Km até o aeroporto; 23 Km até o centro; 12 Km até a BR 376.,A represa estava em fase de construção durante a realização deste inventário.,-,-,-,-,"Beleza Cênica, contemplação.",-,Não,,,,
Paisagem Agaraú - Campos de Cultivos,Volume I,55,17,1,4,2,Atrativos Naturais,Paisagem,Seguindo  a rua Arcídio Claudino Barbosa,Agaraú,,"-25.649535022119586, -49.242604509841186","O plantio de pastagens para o comércio de gramas com finalidade paisagística é uma das principais atividades econômicas da região, proporcionando um belo cenário que pode ser apreciado ao longo  da  rua Arcidio Claudino Barbosa. Os campos são  margeados por pinheiros adultos.","A agricultura, a pecuária e a indústria cerâmica produtora de telhas  tijolos  também estão presentes na região.",Rural,,,-,-,-,-,-,-,-,Os campos podem ser apreciados a partir do ponto georeferenciado nesta ficha do inventário. A paisagem poderá ser alterada ao longo do tempo devido às modificações dos plantações.,-,22 Km até o aeroporto; 16 Km até o centro;  9 Km até a BR 116.,,,,,,"Beleza Cênica, contemplação.",,Não,,,,
Paisagem Antinha - Estrada do Ronco,Volume I,56,18,1,4,3,Atrativos Naturais,Paisagem,Entre as Ruas Demétrio João Kotzias e Pedro Schulis,Antinha,,"-25.65617923549434, -49.05508909027232","A Estrada do Ronco, na Colônia Antinha, é uma estrada que proporciona uma experiência de imersão rural. A colônia  possui a maior parte do seu território ocupada por uma rica vegetação de floresta ambrólia que é formada por espécies vegetais adaptadas a ambientes com alta pluviosidade, geralmente acima de 1.500 mm de chuva por ano.",A estrada proporcina relaxamento e contemplação da paisagem. O ponto georeferenciado leva às proximidades de uma lagoa de uma das fazendas da região que forma uma bonita composição paisagística.,Rural,,,,-,-,-,-,-,-,"A estrada é próxima da singela Capela Nossa Senhora do Perpétuo Socorro da Antinha, localizada à Rua Stanislau Turbanski (-25.6492666399758, -49.04197398301253) e da Represa do Miringuava.",-,"Tendo como referência o ponto -25.6625232951084, -49.06004214316118: 27 Km até  o aeroporto ou até o centro; 1,6 Km até a Vinícola Araucária.",,,,,,"Beleza Cênica, contemplação.",-,Não,,,,
Paisagem Conteda - Frente Igreja de São Sebastião,Volume I,57,19,1,4,4,Atrativos Naturais,Paisagem,Frente à  Igreja de São Sebastião da  Contenda.,Contenda,,"-25.701402634404687, -49.14946976110572","Em frente à igreja, em dias de céu limpo, pode-se avistar as belas montanhas da Serra da Campininha entre os pinheiros que margeiam a estrada.",,Rural,,,,-,-,-,-,-,-,"É um bom local para fazer uma pausa da viagem,  desenhar  e  fazer  fotos.",-,21 Km até o aeroporto;  20 Km até o centro; 700 m até a BR 376.,-,-,-,-,-,"Beleza Cênica, contemplação.",-,Não,,,,
Paisagem Gamelas - Rua João Maiczak,Volume I,58,20,1,4,5,Atrativos Naturais,Paisagem,Trecho da rua João Maiczak,Gamelas,,"-25.596983228349746, -49.0775400924344","Trecho da estrada que passa por propriedades agrícolas e proporciona uma paisagem de beleza cênica tipicamente rural. O ponto georreferenciado leva à proximidade de uma lagoa de uma das fazendas da região, formando uma bonita composição paisagística.",,Rural,,,,-,-,-,-,-,-,-,,Considerando o ponto georreferenciado: 16 Km até o aeroporto; 16 Km até o centro; 12 Km até a BR 277.,-,-,-,-,-,"Beleza Cênica, contemplação.",-,Não,,,,
Paisagem Malhada - Campos de Cultivos,Volume I,59,21,1,4,6,Atrativos Naturais,Paisagem,Professor Júlio Carvalho Gomes,Malhada,,"-25.689075455454326, -49.09423324864407","A rua Professor Júlio Carvalho Gomes na área rural possui várias paisagens de cultivos de verduras e hortaliças. O destaque especial  é o trecho que fica entre a bifurcação com a rua João Grebogui da Lavra,  e a rua Domingos Burakowski.","Nesse trecho, o relevo proporciona uma interessante  paisagem de cultivos ao longo da estrada, com destaque para os plantios de repolhos.  A experiência é tanto visual quanto olfativa.",Rural,,,,-,-,-,-,-,-,-,,"Considerando o ponto georreferenciado da bifurcação com a rua Domingo Burakowisk.
27,5 Km até o Aeroporto; 26 Km até o centro; 5,5 Km até a BR 376.",-,-,-,-,-,"Beleza cênica, experiência olfativa.",-,Não,,,,
,Volume I,60,,,,,Atrativos Histórico-Culturais,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
,Volume I,61,,,,,Atrativos Histórico-Culturais,,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
,Volume I,62,,,,,,Colônias,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Colônia Accioli,Volume I,63,22,2,1,1,Atrativos Histórico-Culturais,Colônias,Proximidades da fábrica da Renault,Colônia Accioli,,"-25.548816906297837, -49.095726965496205","A colonização da região foi majoritariamente realizada por poloneses e italianos, com uma presença menor de suecos.
Foi fundada em terras localizadas na Borda do Campo e na Roseira de São Sebastião, nas proximidades da atual fábrica da Renault. A Colônia Acioli foi nomeada em homenagem ao Tenente-Coronel Francisco de Barros Acioli de Vasconcelos-  Inspetor Geral de Imigração do Paraná. Ele desempenhou um papel crucial na economia do Paraná e foi agraciado com o título de Barão do Serro Azul por D. Pedro II. Diferente de outras colônias, a Colônia Acioli foi criada por iniciativa particular de Idelfonso Pereira Correia, empresário do setor de erva-mate e filantropo. 
Ainda que os motivos de criação da colônia não sejam claros, ela fazia parte de uma visão de modernização e expansão agrícola, visando contribuir para o crescimento econômico da região. Correia, que também foi presidente da Sociedade de Imigração de Curitiba, conhecia as dificuldades enfrentadas pelos imigrantes e, após a Proclamação da República, continuou a apoiar a instalação de famílias italianas, polonesas e suecas em suas terras, mesmo sem auxílio do governo.","A colônia ocupava uma área de 1.260 hectares, dividida em 101 lotes, com uma população inicial de 221 pessoas entre italianos, poloneses e suecos. As casas dos colonos eram simples, feitas de madeira, com cozinhas de chão batido, seguindo a arquitetura tradicional polonesa e italiana adaptada às condições locais. Os colonos cultivavam milho, feijão, trigo, batata-doce, fumo e batatinha. Em dias chuvosos, o transporte de produtos para Curitiba era dificultado pelas más condições das estradas. O cotidiano dos colonos pode ser melhor compreendido através do pequeno museu dos vinhos coloniais dom Roberto, que expõe móveis e equipamentos historicos dos colonos.",Rural,,,Não,,,,,,,A Colônia Acioli se destaca por sua gastronomia e belas paisagens . Sua proximidade com as colônias Mergulhão e Murici atrai muitos turistas que visitam o Caminho do Vinho.,,13 Km do aeroporto; 13 Km do centro; 4 Km da BR 277; 27 Km do centro de  Curitiba,,Fundada em 1891,,,,,,Não,,,,
Colônia Castelhanos,Volume I,64,23,2,1,2,Atrativos Histórico-Culturais,Colônias,"Acesso pela BR-376 (sentido Santa Catarina): entrar à esquerda após o segundo posto da Polícia Federal (Guaratuba), seguindo cerca de 17 km por estrada de chão em meio à mata fechada até o rio São João.",,,"-25.79813979029935, -48.91118559817622","A colonização da área foi marcada pela chegada de ucranianos, poloneses e refugiados de guerra, como húngaros e alemães.
A Colônia está  localizada na Serra do Mar, entre São José dos Pinhais e Guaratuba. Há duas versões sobre sua origem: uma relata que criminosos espanhóis se refugiaram na região, e outra diz que os espanhóis batizaram o local de ""castillas"" pela beleza natural, chamando seus habitantes de ""castelhanos"".
Após um período de abandono das terras entre 1890 e 1950, o desenvolvimento foi impulsionado pela construção da Usina Chaminé em 1931, o primeiro grande projeto hidrelétrico do Paraná. 
Hoje, a colônia é composta por cerca de 400 habitantes organizados em cooperativas. A produção de banana é sua principal atividade econômica.","Além das bananas, há cultivo de mandioca, laranja e frutas como abacate e jabuticaba, além de uma pequena produção de artesanato e produtos derivados da banana. 
A região, situada na Mata Atlântica, oferece uma imersão na natureza, com cachoeiras e rios, sendo um destino emergente de turismo rural. Muitas cachoeiras estão em propriedades privadas e podem ser visitadas com a autorização dos moradores. Recomenda-se o uso de botas e roupas adequadas para trilhas, além do acompanhamento de um guia local, devido à facilidade de se perder na região.",Rural,,,Não,,,,,,,"É a colônia mais distante, localizada na divisa com Guaratuba. A região ficou  abandonada de 1890 a 1950. Após esse período, refugiados da 2a Guerra Mundial se estabeleceram-se na área em busca da tranqulidade às margens dos rios São João e Castelhanos.",,60 km até o aeroporto; 59 km até o centro; 12 km até a BR-376; 82 km até o centro de Curitiba.,,Incerta,,,,,,Não,,,,
Colônias Faxina e Campestre da Faxina,Volume I,65,24,2,1,3,Atrativos Histórico-Culturais,Colônias,Localizam-se na região oeste do município,Colônia Faxina,,"Campestre da Faxina: -25.736092381473462, -49.177502894870486;
Faxina: -25.77587993104762, -49.182970863815584","Colônias de formação espontânea. 
Entre os séculos XVIII e XIX, colonizadores portugueses, povos indígenas e seus descendentes ocupavam a região da Faxina e Campestre da Faxina, com registros de propriedades contendo sobrenomes portugueses. No final do século XIX e início do século XX, iniciou-se uma ocupação espontânea dessas propriedades por colonos provenientes de áreas de difícil permanência, como a colônia Santos Andrade, localizada na Serra do Mar, sem interferência das autoridades estaduais. Ao longo do tempo, esses imigrantes foram, pouco a pouco, adquirindo terras dos proprietários descendentes de portugueses na região. Conforme documentado pela historiadora Maria Angélica Marochi em seu livro ""Imigrantes 1870-1950: os Europeus em São José dos Pinhais"", os registros cartoriais são a principal fonte de informação sobre essa transição. Tais registros mostram a mudança da predominância de sobrenomes portugueses para sobrenomes de famílias ucranianas e, posteriormente, polonesas e italianas.","Esses novos colonos gradualmente adquiriram terras na Faxina e Campestre da Faxina, deixando para trás as áreas de difícil acesso, em uma segunda onda migratória dentro das colônias. O nome “Faxina” é intrigante. Na época dos antigos colonos, não havia cercas entre as propriedades; a divisão era feita por valas profundas. Os animais eram criados livres, e a administração das terras e cultivos era coletiva. O nome “Faxina” muito possivelmente deriva da “constituição de faxinal”, um conjunto de normas e práticas comunitárias específicas das comunidades tradicionais chamadas faxinais, típicas do Paraná. Essas normas regulavam o uso comum das terras pelas diferentes famílias, principalmente para a criação de animais e agricultura. Nos faxinais, as áreas eram compartilhadas pelas famílias para a criação de animais soltos, como porcos, e o cultivo de pequenas roças.",Rural,,,Não,,,,,,,"É uma região rural tranquila, proporciona experiências de agroturismo, gastronomia e contemplação de paisagens.",,"Faxina:32,5 Km até o aeroporto; 31 Km até o centro; 8,5 Km até a BR 376 
Campestre da Faxina: 28 Km até o aeroporto; 26,5 Km até o centro; 7 Km até a BR 376",,Incerta,,,,,,Não,,,,
