cpt_slug,tax_rotas_turisticas,tax_tipo_atrativo,tax_categorias_empreendimentos,pods_resumo_historico,pods_endereco_localizacao,pods_entrada,pods_horario_de_visitacao,pods_guia_necessario,pods_subtitulo_slogan,pods_endereco_completo,pods_telefone_whatsapp,pods_instagram,pods_site_oficial,pods_horario_de_funcionamento,pods_comodidades,pods_destaque_na_home,pods_data_de_inicio,pods_sobre_o_evento,pods_data_de_fim,pods_local_do_evento,pods_valor_do_ingresso,pods_link_de_inscricao_compra,pods_organizador,pods_historia_completa,post_title
atrativos,,Atrativos Rurais,,"O plantio de pastagens para o comércio de gramas com finalidade paisagística é uma das principais atividades econômicas da região, proporcionando um belo cenário que pode ser apreciado ao longo da rua Arcidio Claudino Barbosa. Os campos são margeados por pinheiros adultos. A agricultura, a pecuária e a indústria cerâmica produtora de telhas tijolos também estão presentes na região.",Seguindo a rua Arcídio Claudino Barbosa,,,false,,Seguindo a rua Arcídio Claudino Barbosa,,,,,,,,,,,,,,,Paisagem Agaraú Campos de Cultivos
atrativos,,Atrativos Rurais,,"A Estrada do Ronco, na Colônia Antinha, é uma estrada que proporciona uma experiência de imersão rural. A colônia possui a maior parte do seu território ocupada por uma rica vegetação de floresta ambrólia que é formada por espécies vegetais adaptadas a ambientes com alta pluviosidade, geralmente acima de 1.500 mm de chuva por ano. A estrada proporciona relaxamento e contemplação da paisagem. O ponto georeferenciado leva às proximidades de uma lagoa de uma das fazendas da região que forma uma bonita composição paisagística.",Entre as Ruas Demétrio João Kotzias e Pedro Schulis,,,false,,Entre as Ruas Demétrio João Kotzias e Pedro Schulis,,,,,,,,,,,,,,,Paisagem Antinha Estrada do Ronco
atrativos,,Atrativos Rurais,,"Em frente à igreja, em dias de céu limpo, pode-se avistar as belas montanhas da Serra da Campininha entre os pinheiros que margeiam a estrada.",Frente à Igreja de São Sebastião da Contenda.,,,false,,,,,,,,,,,,Frente à Igreja de São Sebastião da Contenda.,,,,,Paisagem Conteda Frente Igreja de São Sebastião
atrativos,Destinos do Campo,Atrativos Rurais,,"Trecho da estrada que passa por propriedades agrícolas e proporciona uma paisagem de beleza cênica tipicamente rural. O ponto georreferenciado leva à proximidade de uma lagoa de uma das fazendas da região, formando uma bonita composição paisagística.",Trecho da rua João Maiczak,,,false,,Trecho da rua João Maiczak,,,,,,,,,,,,,,,Paisagem Gamelas Rua João Maiczak
atrativos,Destinos do Campo,Atrativos Rurais,,"A rua Professor Júlio Carvalho Gomes na área rural possui várias paisagens de cultivos de verduras e hortaliças. O destaque especial é o trecho que fica entre a bifurcação com a rua João Grebogui da Lavra, e a rua Domingos Burakowski. Nesse trecho, o relevo proporciona uma interessante paisagem de cultivos ao longo da estrada, com destaque para os plantios de repolhos. A experiência é tanto visual quanto olfativa.",Professor Júlio Carvalho Gomes,,,false,,Professor Júlio Carvalho Gomes,,,,,,,,,,,,,,,Paisagem Malhada Campos de Cultivos
atrativos,,História e Cultura,,,,,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
atrativos,,História e Cultura,,,,,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
,,,,,,Consultar,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
atrativos,Caminho do Vinho,História e Cultura,,"A colonização da região foi majoritariamente realizada por poloneses e italianos, com uma presença menor de suecos. Foi fundada em terras localizadas na Borda do Campo e na Roseira de São Sebastião, nas proximidades da atual fábrica da Renault. A Colônia Acioli foi nomeada em homenagem ao Tenente-Coronel Francisco de Barros Acioli de Vasconcelos- Inspetor Geral de Imigração do Paraná. Ele desempenhou um papel crucial na economia do Paraná e foi agraciado com o título de Barão do Serro Azul por D. Pedro II. Diferente de outras colônias, a Colônia Acioli foi criada por iniciativa particular de Idelfonso Pereira Correia, empresário do setor de erva-mate e filantropo. Ainda que os motivos de criação da colônia não sejam claros, ela fazia parte de uma visão de modernização e expansão agrícola, visando contribuir para o crescimento econômico da região. Correia, que também foi presidente da Sociedade de Imigração de Curitiba, conhecia as dificuldades enfrentadas pelos imigrantes e, após a Proclamação da República, continuou a apoiar a instalação de famílias italianas, polonesas e suecas em suas terras, mesmo sem auxílio do governo. A colônia ocupava uma área de 1.260 hectares, dividida em 101 lotes, com uma população inicial de 221 pessoas entre italianos, poloneses e suecos. As casas dos colonos eram simples, feitas de madeira, com cozinhas de chão batido, seguindo a arquitetura tradicional polonesa e italiana adaptada às condições locais. Os colonos cultivavam milho, feijão, trigo, batata-doce, fumo e batatinha. Em dias chuvosos, o transporte de produtos para Curitiba era dificultado pelas más condições das estradas. O cotidiano dos colonos pode ser melhor compreendido através do pequeno museu dos vinhos coloniais dom Roberto, que expõe móveis e equipamentos históricos dos colonos.",Proximidades da fábrica da Renault,,,false,,Proximidades da fábrica da Renault,,,,,Estacionamento,,,,,,,,,,Colônia Accioli
atrativos,,Atrativos Rurais,,"A colonização da área foi marcada pela chegada de ucranianos, poloneses e refugiados de guerra, como húngaros e alemães. A Colônia está localizada na Serra do Mar, entre São José dos Pinhais e Guaratuba. Há duas versões sobre sua origem: uma relata que criminosos espanhóis se refugiaram na região, e outra diz que os espanhóis batizaram o local de ""castillas"" pela beleza natural, chamando seus habitantes de ""castelhanos"". Após um período de abandono das terras entre 1890 e 1950, o desenvolvimento foi impulsionado pela construção da Usina Chaminé em 1931, o primeiro grande projeto hidrelétrico do Paraná. Hoje, a colônia é composta por cerca de 400 habitantes organizados em cooperativas. A produção de banana é sua principal atividade econômica. Além das bananas, há cultivo de mandioca, laranja e frutas como abacate e jabuticaba, além de uma pequena produção de artesanato e produtos derivados da banana. A região, situada na Mata Atlântica, oferece uma imersão na natureza, com cachoeiras e rios, sendo um destino emergente de turismo rural. Muitas cachoeiras estão em propriedades privadas e podem ser visitadas com a autorização dos moradores. Recomenda-se o uso de botas e roupas adequadas para trilhas, além do acompanhamento de um guia local, devido à facilidade de se perder na região.","Acesso pela BR-376 (sentido Santa Catarina): entrar à esquerda após o segundo posto da Polícia Federal (Guaratuba), seguindo cerca de 17 km por estrada de chão em meio à mata fechada até o rio São João.",Consultar,,true,,,,,,,,,,,,,,,,,Colônia Castelhanos
atrativos,Rota das Colônias,História e Cultura,,"Colônias de formação espontânea. Entre os séculos XVIII e XIX, colonizadores portugueses, povos indígenas e seus descendentes ocupavam a região da Faxina e Campestre da Faxina, com registros de propriedades contendo sobrenomes portugueses. No final do século XIX e início do século XX, iniciou-se uma ocupação espontânea dessas propriedades por colonos provenientes de áreas de difícil permanência, como a colônia Santos Andrade, localizada na Serra do Mar, sem interferência das autoridades estaduais. Ao longo do tempo, esses imigrantes foram, pouco a pouco, adquirindo terras dos proprietários descendentes de portugueses na região. Conforme documentado pela historiadora Maria Angélica Marochi em seu livro ""Imigrantes 1870-1950: os Europeus em São José dos Pinhais"", os registros cartoriais são a principal fonte de informação sobre essa transição. Tais registros mostram a mudança da predominância de sobrenomes portugueses para sobrenomes de famílias ucranianas e, posteriormente, polonesas e italianas. Esses novos colonos gradualmente adquiriram terras na Faxina e Campestre da Faxina, deixando para trás as áreas de difícil acesso, em uma segunda onda migratória dentro das colônias. O nome “Faxina” é intrigante. Na época dos antigos colonos, não havia cercas entre as propriedades; a divisão era feita por valas profundas. Os animais eram criados livres, e a administração das terras e cultivos era coletiva. O nome “Faxina” muito possivelmente deriva da “constituição de faxinal”, um conjunto de normas e práticas comunitárias específicas das comunidades tradicionais chamadas faxinais, típicas do Paraná. Essas normas regulavam o uso comum das terras pelas diferentes famílias, principalmente para a criação de animais e agricultura. Nos faxinais, as áreas eram compartilhadas pelas famílias para a criação de animais soltos, como porcos, e o cultivo de pequenas roças.",Localizam-se na região oeste do município,,,false,,Localizam-se na região oeste do município,,,,,,,,,,,,,,,Colônias Faxina e Campestre da Faxina
atrativos,,História e Cultura,,"A região da Malhada se estende entre o Campo Largo da Roseira e o saltinho da malhada. Tem como principal atividade a criação de cavalos de raça, avicultura, extração de saibros e britas, algumas dezenas de olarias e significante produção de hortigranjeiros e o plantio de hortênsias. O distrito foi criado em 1951, porém em 1780 a região já era grande produtora de erva-mate, gado e produtos agrícolas, e por volta de 1815 destacou-se também na criação de cavalos, carneiros e porcos. Até a chegada dos primeiros colonos, a região era ocupada por descendentes de portugueses. Documentos de propriedades das terras, datados de 1893, comprovam que havia poucos proprietários de terra até o final do século XIX. Os nomes registrados incluíam Alves, Andriguetto, Araújo, Bolin, Carvalho, Foiato, Furquim, Ferreira de Jesus, Franco dos Santos, Greboge e Santos. Já nos registros de cobrança de impostos e alvarás de funcionamento, entre 1910 e 1960, foram identificados 16 proprietários na Malhada, sendo 14 deles com sobrenomes italianos e poloneses. As primeiras famílias que ocuparam a região enfrentaram o árduo trabalho de derrubar a mata para preparar a terra para o cultivo. Com a madeira cortada, construíram suas casas e realizaram benfeitorias nas propriedades. Os imigrantes e seus descendentes foram adquirindo pequenas propriedades e se dedicaram à agricultura, de forma semelhante à Colônia Murici. Muitos colonos da Malhada tinham parentes na Colônia Murici, criando uma forte ligação entre as duas colônias, que, além de compartilharem o mesmo grupo étnico, mantinham uma estreita relação. A primeira igreja foi construída por meio de um mutirão formado pelos imigrantes e descendentes de colonizadores portugueses. Juntos, limparam o terreno e, posteriormente, trabalharam na edificação da igreja.",Acessos pela BR-376 (Campo Largo da Roseira) A 22 Km até o aeroporto; 22 Km até o centro; 6 Km até a BR 376; 38 Km até o centro de Curitiba,Consultar,,false,,,,,,,,,,,,,,,,,Colônia Malhada
atrativos,,História e Cultura,,"A colônia foi nomeada em homenagem ao Coronel Marcelino José Nogueira, antigo proprietário das terras, que facilitou a venda para imigrantes e descendentes de ucranianos e poloneses. Registros de 1893 mencionam 70 proprietários de terras com sobrenomes de origem portuguesa, como Alves, Bueno, Claudino, Cruz, Fagundes, Ferreira, Lima, Machado, Oliveira e Rocha. No início do século XX, chegaram as primeiras famílias ucranianas, como Baran, Tarachuk, Verniski, Guzik, Nogas, Lecheta, Taracnik, Starepravo, Ivanski e Paitach. Posteriormente, vieram famílias polonesas, como Inkot, Picussa, Felipak, Sezanoski, Kosiba, Chimanski, Kuzeski, Kusma e Buczko. A colônia se formou de maneira espontânea, com imigrantes, principalmente ucranianos e poloneses, buscando novas terras após se estabelecerem em outras colônias vizinhas no final do século XIX. Alguns imigrantes chegaram diretamente da Europa, atraídos pela propaganda brasileira sobre imigração. Por ser uma colônia de formação espontânea, há pouca documentação sobre seu processo de estabelecimento. A maioria dos ucranianos veio durante a primeira onda de imigração ao Paraná, oriundos de regiões como Galícia e Bucovina, então sob domínio austríaco. Outros ucranianos chegaram após a Primeira e a Segunda Guerra Mundial. Apesar dos desafios de limpar e cultivar as terras, os imigrantes consideravam uma dádiva serem donos de suas próprias terras, ao contrário da Europa. Inicialmente, cultivavam trigo, milho, feijão e erva-mate, e com o tempo se tornaram grandes produtores de batata-salsa, pimentão e trigo. Atualmente, a colônia é a maior produtora de camomila do Paraná, e os campos floridos enfeitam a paisagem rural, com um leve aroma adocicado no ar. Outro aspecto marcante da colônia é a expressão de sua religiosidade, refletida na arquitetura. Destacam-se a imponente Igreja Ucraniana da Santíssima Trindade, construída em estilo bizantino, e a antiga Igreja da Santíssima Trindade, em estilo neoclássico, além da Capela de São Pedro e São Paulo, que por muitos anos foi frequentada apenas por poloneses. Por estar distante do centro urbano, a colônia preserva muitas de suas características originais.","Acessos pela BR-376 (Campo Largo da Roseira), ou pela BR-116. Faz divisa com as localidades de Campestre, Faxina, Espigão, Rio Abaixo, Queimadas, Retiro e Matos, e com o município de Mandirituba.",,,false,,,,,,,,,,,,,,,,,Colônia Marcelino
atrativos,Caminho do Vinho,História e Cultura,,"A Colônia Mergulhão recebeu seu nome em referência ao pássaro aquático Mergulhão Caçador, comum na região devido à grande quantidade de rios e nascentes. A principal colonização foi de italianos e poloneses, embora a ocupação inicial tenha sido espontânea por descendentes de antigos colonizadores portugueses, escravos africanos e indígenas. No início do século XX, imigrantes italianos e poloneses começaram a adquirir terras na região, especialmente ao longo da estrada principal da colônia. Famílias como Daldin, Bortolan, Juliatto e Pissaia estavam entre as primeiras a se estabelecerem. A economia era baseada na produção agrícola diversificada, com plantações de milho, feijão, batata-doce e legumes, além da criação de vacas leiteiras, aves e porcos. A erva-mate nativa também era explorada. O potencial turístico da região foi identificado em 1998, e em 1999 surgiu a rota turística “Caminho do Vinho”, que hoje abrange cerca de 30 propriedades rurais. Essas propriedades oferecem vinhos, produtos coloniais, pesque-pagues, restaurantes e cafés coloniais. A Associação Caminho do Vinho (Acavin) foi criada para promover o desenvolvimento local. A produção de vinho começou com parreirais trazidos da Itália, e até 1940, muitos produtores fabricavam vinho apenas para consumo familiar. A comercialização de vinhos cresceu, e algumas famílias passaram a vender oficialmente após se registrarem junto à Prefeitura. A região, hoje, é conhecida por suas vinícolas e produção de sucos e licores. As primeiras moradias eram rudimentares, construídas em madeira, mas com o tempo, a construção em alvenaria se tornou comum graças às olarias locais. A colônia também conta com uma tradição religiosa, tendo erguido sua primeira capela dedicada à Nossa Senhora da Imaculada Conceição, que posteriormente foi substituída por uma igreja maior na década de 1930. A colônia preserva suas tradições culturais por meio de iniciativas como o grupo folclórico Cuori d'Italia, o coral Belvedere e festividades como a Festa do Vinho e Mostra de Folclore, realizadas em agosto, além da Festa do Pinhão, consolidando o Caminho do Vinho como destino turístico e gastronômico.",Localiza-se às margens do rio Pequeno. Coincide práticamente com a Rota do Vinho,Consultar,,false,,,,,,,,,,,,,,,,,Colônia Mergulhão
atrativos,Rota das Colônias,História e Cultura,,"Criada em 1878, a Colônia Murici é a mais expressiva comunidade de origem polonesa no Brasil. Foi fundada em homenagem ao médico José Cândido da Silva Muricy, reconhecido por suas contribuições à Santa Casa de Misericórdia de Curitiba e ao Museu Paranaense, e condecorado pelo Imperador D. Pedro II. A colonização da região foi predominantemente realizada por imigrantes poloneses procedentes da Galícia e da Prússia Oriental com uma pequena presença de brasileiros e italianos. As primeiras famílias (60 pessoas) chegaram pelo Porto de Paranaguá no navio inglês “Pachoal” e se estabeleceram em uma área inicialmente dividida em 73 lotes. Os colonos adaptaram técnicas arquitetônicas típicas da Polônia, como o ""Dom Węgłowy"", construindo casas simples e funcionais com madeiras locais e telhados de palha, posteriormente substituídos por telhas de barro. Essas casas ofereciam proteção contra o clima e pragas locais, utilizando troncos de araucárias. A economia da colônia era baseada na produção de erva-mate, trigo, milho, feijão, batata, vinho e fumo. Atualmente, a Colônia Murici é uma importante produtora de hortaliças, abastecendo cerca de 80% da região metropolitana de Curitiba. Além da agricultura, a colônia oferece um circuito de turismo rural com atrações como igrejas, cafés coloniais, pesque-pagues e belas paisagens. Entre suas principais festividades estão a Festa da Colheita, a Festa de São João e a Festa das Capelinhas. A colônia também mantém vivas tradições culturais polonesas, com destaque para o Natal e a Páscoa. O cotidiano dos colonos pode ser melhor compreendido através do pequeno museu na casa Groschoki-Kawarnia, que expõe móveis e equipamentos históricos dos colonos.","Localiza-se às margens do rio Miringuava, abrange as regiões de Avencal, Inhaíva, Murici, Roça Velha, Malhada e Saltinho da Malhada.",,,false,,,,,,,,,,,,,,,,,Colônia Murici
atrativos,Caminho do Vinho,História e Cultura,,"Criada em 1878, a Colônia Zacarias foi criada em homenagem a Zacarias de Góes Vasconcelos, primeiro presidente da Província do Paraná após sua separação de São Paulo em 1853, e destacado político do Segundo Reinado. A colonização foi liderada por poloneses silesianos e italianos. Os poloneses silesianos, provenientes da região da Silésia (dividida entre a Áustria e a Prússia), trouxeram influências culturais e linguísticas germânicas associados às suas tradições polonesas. Na sua fundação, a colônia tinha uma área de 3.182.807 m², dividida em 28 lotes, tornando-se uma das menores colônias da região. Sua emancipação precoce fez com que os colonos perdessem o apoio governamental. Apesar dessa adversidade, conseguiram se estabelecer e expandir suas terras. Plantavam milho, feijão, batatas, cebola e produziam manteiga e erva-mate, além de, em alguns períodos, cultivarem linho. A comunidade era profundamente religiosa. Em 1885 os colonos construíram uma igreja de madeira dedicada a Nossa Senhora do Rosário que foi substituída em 1923 por uma nova construção de alvenaria. A língua polonesa era predominante, mas com a ditadura de Getúlio Vargas, seus habitantes foram proibidos de falar sua língua natal e o ensino do português se tornou obrigatório. Hoje, a Colônia Zacarias se destaca pela horticultura, com o cultivo de frutas, hortaliças e legumes, além da criação de aves, produção de leite e turismo rural. A região atrai visitantes com pesque-pagues, áreas de lazer rural e a venda de produtos artesanais como queijos, conservas e embutidos, mantendo vivas suas tradições e cultura.","Localiza-se na região entre os rios Arujá, Miringuava, Miringuava Mirim. Ao sul do centro da cidade e da BR 376.",,,false,,"Localiza-se na região entre os rios Arujá, Miringuava, Miringuava Mirim. Ao sul do centro da cidade e da BR 376.",,,,,,,,,,,,,,,Colônia Zacarias
atrativos,,História e Cultura,,"Além das maiores colônias citadas anteriormente, existem outras localidades formadas por pequenos grupos étnicos na área rural. Em geral, foram criadas de forma espontânea. São elas: Avencal, Cachoeira, Campina do Taquaral, Campo Largo da Roseira, Capão Grosso, Capivari, Córrego Fundo, Costeira, Curralinho, Gamelas, Inhaíva, Poço da Anta, Papanduva da Serra, Purgátório, Rio de Una, Rio Pequeno, Roça Velha, Roseira de Campo Largo e Saltinho da Malhada, Santos Andrade.",,,,false,,,,,,,,,,,,,,,,,Outras Colonias
,,,,,,Consultar,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
